CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
17;LC;35833;C;17;Linguagens Branco PPL;0;;0.782;0.9061;0.216;Branco;0;2017;1;0;N/A;590.6097888946533;727.6408672332764;1146.747350692749;60.8;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35833.png
3;LC;35840;C;30;Linguagens Branco PPL;0;;0.923;1.0994;0.22;Branco;0;2017;1;0;N/A;609.940767288208;725.292444229126;1080.5575847625732;61.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35840.png
18;LC;35870;A;13;Linguagens Branco PPL;0;;0.6509;1.4825;0.2439;Branco;0;2017;1;0;N/A;648.2903957366943;805.3605556488037;1310.760259628296;62.2;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35870.png
2;LC;35965;A;29;Linguagens Branco PPL;0;;1.268;0.3628;0.1882;Branco;0;2017;1;0;N/A;536.2789630889893;624.4580745697021;882.0431232452393;59.41;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35965.png
24;LC;37349;C;5;Linguagens Branco PPL;0;;0.8586;1.6799;0.246;Branco;0;2017;1;0;N/A;667.9909229278564;786.6542339324951;1169.9073314666748;62.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/37349.png
29;CH;38102;C;28;Humanas Azul PPL;0;;0.8674;1.1961;0.1974;Azul;0;2017;1;0;N/A;619.6110248565674;746.7644214630127;1123.7304210662842;59.87;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/38102.png
12;CN;39029;B;28;Natureza Rosa REGULAR;0;;1.6216;2.6791;0.2699;Rosa;0;2017;1;0;N/A;767.9264545440674;828.0198574066162;1031.6507816314697;63.5;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39029.png
6;LC;39705;B;6;Linguagens Branco REGULAR;0;;1.8446;1.7447;0.1661;Branco;0;2017;1;0;N/A;674.4568347930908;737.0083332061768;913.6264324188232;58.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39705.png
20;CN;41509;B;20;Natureza Rosa PPL;0;;0.7257;4.1042;0.331;Rosa;0;2017;1;0;N/A;910.4197025299072;1027.862310409546;1487.5380992889404;66.55;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41509.png
11;LC;41524;B;11;Linguagens Branco REGULAR;0;;1.7788;0.4549;0.1712;Branco;0;2017;1;0;N/A;545.4890727996826;609.8859310150146;793.1439876556396;58.56;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41524.png
12;LC;41580;D;20;Linguagens Branco PPL;0;;0.9465;0.8704;0.1943;Branco;0;2017;1;0;N/A;587.0668888092041;704.1089534759521;1049.4415760040283;59.72;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41580.png
18;LC;41581;B;18;Linguagens Branco REGULAR;0;;1.1537;2.3457;0.1678;Branco;0;2017;1;0;N/A;734.5693111419678;834.3260288238525;1116.7662143707275;58.39;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41581.png
18;CH;56386;C;4;Humanas Azul PPL;0;;0.6731;2.4987;0.2673;Azul;0;2017;1;0;N/A;749.8304843902588;895.4112529754639;1385.7953548431396;63.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56386.png
14;CH;56470;D;8;Humanas Azul REGULAR;0;;0.7687;3.0411;0.2689;Azul;0;2017;1;0;N/A;804.0754795074463;931.1597347259521;1360.658884048462;63.44;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56470.png
28;CH;56475;D;10;Humanas Azul PPL;0;;0.6103;2.2088;0.2194;Azul;0;2017;1;0;N/A;720.879316329956;895.5066204071045;1432.7566623687744;60.97;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56475.png
2;CH;56609;C;22;Humanas Azul PPL;0;;1.1779;0.2345;0.1726;Azul;0;2017;1;0;N/A;523.4496593475342;620.5098628997803;897.2971439361572;58.63;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56609.png
9;CH;56740;C;14;Humanas Azul REGULAR;0;;2.0638;1.5649;0.1936;Azul;0;2017;1;0;N/A;656.4896106719971;710.2363109588623;868.5986995697021;59.68;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56740.png
23;LC;56806;C;23;Linguagens Branco REGULAR;0;;0.7422;1.1917;0.1919;Branco;0;2017;1;0;N/A;619.2033290863037;768.9969539642334;1209.2607021331787;59.6;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56806.png
24;LC;56809;C;24;Linguagens Branco REGULAR;0;;0.5461;1.0489;0.2266;Branco;0;2017;1;0;N/A;604.8910617828369;797.7597713470459;1398.7367153167725;61.33;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56809.png
11;LC;56829;A;1;Linguagens Branco PPL;0;;1.3171;-0.351;0.2302;Branco;0;2017;1;0;N/A;464.89882469177246;544.3899631500244;793.6875820159912;61.51;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56829.png
5;LC;56845;D;23;Linguagens Branco PPL;0;;1.0632;1.9735;0.2169;Branco;0;2017;1;0;N/A;697.373628616333;797.9934215545654;1106.2877178192139;60.85;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56845.png
13;LC;57020;A;9;Linguagens Branco REGULAR;0;;1.2355;1.7196;0.1559;Branco;0;2017;1;0;N/A;671.9415187835693;766.6199207305908;1030.015230178833;57.79;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57020.png
20;LC;57026;A;12;Linguagens Branco PPL;0;;1.0684;2.1271;0.1808;Branco;0;2017;1;0;N/A;712.7110958099365;818.4854984283447;1123.9283084869385;59.04;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57026.png
8;LC;57119;B;23;Linguagens Branco PPL;0;;1.1392;0.6688;0.1946;Branco;0;2017;1;0;N/A;566.8799877166748;664.104700088501;951.0319232940674;59.73;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57119.png
9;CH;57217;D;25;Humanas Azul PPL;0;;0.7938;0.7441;0.206;Azul;0;2017;1;0;N/A;574.4092464447021;711.5428447723389;1123.8973140716553;60.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57217.png
26;CN;57230;D;20;Natureza Rosa PPL;0;;1.017;1.4636;0.2462;Rosa;0;2017;1;0;N/A;646.3592052459717;746.506929397583;1070.0767040252686;62.31;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57230.png
22;CH;57236;D;20;Humanas Azul PPL;0;;1.3533;0.9424;0.1404;Azul;0;2017;1;0;N/A;594.2409038543701;682.417631149292;922.4884510040283;57.02;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57236.png
12;CH;57259;C;10;Humanas Azul REGULAR;0;;0.9368;0.1873;0.1776;Azul;0;2017;1;0;N/A;518.7289714813232;639.9147510528564;988.1370067596436;58.88;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57259.png
20;CH;57309;C;19;Humanas Azul REGULAR;0;;0.7274;0.9755;0.2077;Azul;0;2017;1;0;N/A;597.5143909454346;746.807336807251;1196.8963146209717;60.38;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57309.png
26;LC;57427;D;7;Linguagens Branco PPL;0;;0.6555;1.7745;0.2626;Branco;0;2017;1;0;N/A;677.4489879608154;828.2392024993896;1331.4383029937744;63.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57427.png
8;LC;57454;B;7;Linguagens Branco REGULAR;0;;1.0202;1.1654;0.2915;Branco;0;2017;1;0;N/A;616.5688037872314;708.0070972442627;1032.766580581665;64.58;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57454.png
30;LC;57569;A;30;Linguagens Branco REGULAR;0;;1.8742;2.2242;0.2025;Branco;0;2017;1;0;N/A;722.4338054656982;780.8153629302979;955.3878307342529;60.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57569.png
14;LC;57594;B;14;Linguagens Branco REGULAR;0;;0.8396;1.9922;0.2269;Branco;0;2017;1;0;N/A;699.2499828338623;824.6057033538818;1215.5144214630127;61.35;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57594.png
22;CH;57606;D;5;Humanas Azul REGULAR;0;;1.1867;1.1868;0.1123;Azul;0;2017;1;0;N/A;618.6978816986084;722.7532863616943;995.7520961761475;55.62;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57606.png
14;CH;57645;C;14;Humanas Azul PPL;0;;1.2342;0.8367;0.1987;Azul;0;2017;1;0;N/A;583.690881729126;672.8594303131104;937.8330707550049;59.94;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57645.png
9;LC;57746;A;21;Linguagens Branco PPL;0;;0.9881;0.9504;0.1977;Branco;0;2017;1;0;N/A;595.0157642364502;706.6123485565186;1037.5421047210693;59.88;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57746.png
23;LC;57772;A;7;Linguagens Branco PPL;0;;0.9397;1.014;0.197;Branco;0;2017;1;0;N/A;601.40061378479;718.8408374786377;1066.786527633667;59.85;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57772.png
27;CH;57859;B;1;Humanas Azul PPL;0;;1.1062;1.4757;0.2262;Azul;0;2017;1;0;N/A;647.5703716278076;742.847204208374;1039.5162105560303;61.31;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57859.png
25;LC;57955;A;6;Linguagens Branco PPL;0;;1.2184;0.2108;0.1761;Branco;0;2017;1;0;N/A;521.0607051849365;614.4540309906006;882.148027420044;58.8;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57955.png
1;LC;57958;D;28;Linguagens Branco PPL;0;;0.7383;0.7205;0.1443;Branco;0;2017;1;0;N/A;572.0822811126709;732.8765392303467;1173.1045246124268;57.22;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57958.png
17;LC;57960;D;20;Linguagens Branco REGULAR;0;;0.9224;1.0991;0.1717;Branco;0;2017;1;0;N/A;609.8835468292236;734.0090274810791;1087.4288082122803;58.58;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57960.png
21;LC;57985;B;21;Linguagens Branco REGULAR;0;;0.9662;1.4705;0.2422;Branco;0;2017;1;0;N/A;647.0506191253662;753.2064914703369;1093.5990810394287;62.11;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57985.png
4;LC;58085;A;27;Linguagens Branco PPL;0;;1.192;1.2538;0.1847;Branco;0;2017;1;0;N/A;625.3998279571533;719.658613204956;993.553876876831;59.24;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58085.png
6;LC;58515;B;24;Linguagens Branco PPL;0;;0.4634;2.0412;0.2401;Branco;0;2017;1;0;N/A;704.0636539459229;926.2697696685791;1635.789155960083;62.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58515.png
10;LC;58525;B;11;Linguagens Branco REGULAR;0;;0.9513;1.5961;0.2549;Branco;0;2017;1;0;N/A;659.5818996429443;765.0082111358643;1111.351728439331;62.74;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58525.png
22;LC;58525;B;11;Linguagens Branco PPL;0;;0.9513;1.5961;0.2549;Branco;0;2017;1;0;N/A;659.5818996429443;765.0082111358643;1111.351728439331;62.74;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58525.png
12;LC;58666;C;12;Linguagens Branco REGULAR;0;;0.8839;1.6406;0.1873;Branco;0;2017;1;0;N/A;664.0331745147705;790.7216548919678;1160.2013111114502;59.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58666.png
29;LC;58704;D;2;Linguagens Branco PPL;0;;0.5529;2.0149;0.2025;Branco;0;2017;1;0;N/A;701.5364170074463;899.4357585906982;1491.1954402923584;60.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58704.png
2;LC;58719;B;3;Linguagens Branco REGULAR;0;;2.6601;1.9623;0.2429;Branco;0;2017;1;0;N/A;696.2196826934814;734.7409725189209;858.3896160125732;62.14;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58719.png
28;LC;58844;D;4;Linguagens Branco PPL;0;;1.5993;0.5085;0.1457;Branco;0;2017;1;0;N/A;550.8344173431396;624.9611377716064;828.2153606414795;57.28;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58844.png
19;LC;58865;C;11;Linguagens Branco PPL;0;;0.8036;1.4846;0.1943;Branco;0;2017;1;0;N/A;648.4906673431396;786.3490581512451;1193.0887699127197;59.72;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58865.png
10;LC;58886;D;2;Linguagens Branco PPL;0;;0.9928;1.6054;0.2053;Branco;0;2017;1;0;N/A;660.5141162872314;770.30348777771;1099.9743938446045;60.26;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58886.png
3;CN;58950;D;18;Natureza Rosa PPL;0;;0.8938;0.6452;0.2242;Rosa;0;2017;1;0;N/A;564.5196437835693;682.8277111053467;1049.9017238616943;61.21;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58950.png
11;CN;59071;D;2;Natureza Rosa REGULAR;0;;1.8918;0.9566;0.1642;Rosa;0;2017;1;0;N/A;595.6594944000244;656.7947864532471;828.9711475372314;58.21;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/59071.png
15;LC;71323;D;15;Linguagens Branco REGULAR;0;;1.0869;0.8282;0.1426;Branco;0;2017;1;0;N/A;582.8206539154053;692.3024654388428;991.2841320037842;57.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/71323.png
15;LC;71875;C;15;Linguagens Branco PPL;0;;0.7258;1.4339;0.2906;Branco;0;2017;1;0;N/A;643.3908939361572;772.2012996673584;1228.6250591278076;64.53;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/71875.png
16;LC;71916;B;16;Linguagens Branco PPL;0;;1.6218;1.7074;0.1508;Branco;0;2017;1;0;N/A;670.7398891448975;743.3407306671143;943.8841342926025;57.54;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/71916.png
30;LC;72036;C;1;Linguagens Branco PPL;0;;0.828;0.1671;0.2013;Branco;0;2017;1;0;N/A;516.7405605316162;649.1296291351318;1044.2225933074951;60.07;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/72036.png
3;LC;72116;B;3;Linguagens Branco REGULAR;0;;0.9312;0.5284;0.2569;Branco;0;2017;1;0;N/A;552.8109073638916;660.1183414459229;1014.0411853790283;62.84;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/72116.png
5;LC;73340;A;7;Linguagens Branco REGULAR;0;;1.4005;2.7213;0.3463;Branco;0;2017;1;0;N/A;772.1512317657471;830.6186199188232;1069.4997310638428;67.32;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/73340.png
27;LC;73632;D;3;Linguagens Branco PPL;0;;1.1625;0.7091;0.1774;Branco;0;2017;1;0;N/A;570.9092617034912;668.5941219329834;949.2032527923584;58.87;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/73632.png
14;LC;74057;B;18;Linguagens Branco PPL;0;;0.6715;1.6351;0.1547;Branco;0;2017;1;0;N/A;663.5444164276123;837.9547595977783;1322.514295578003;57.74;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74057.png
4;CH;74086;A;5;Humanas Azul PPL;0;;1.1146;1.9763;0.225;Azul;0;2017;1;0;N/A;697.6311206817627;792.3762798309326;1086.763620376587;61.25;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74086.png
30;CH;74360;A;12;Humanas Azul REGULAR;0;;0.5852;0.945;0.2934;Azul;0;2017;1;0;N/A;594.5007801055908;753.3185482025146;1319.6580410003662;64.67;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74360.png
23;CH;74463;C;16;Humanas Azul PPL;0;;0.9697;0.8889;0.173;Azul;0;2017;1;0;N/A;588.890790939331;706.7244052886963;1042.9542064666748;58.65;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74463.png
7;CH;74475;A;9;Humanas Azul PPL;0;;0.6055;1.092;0.2522;Azul;0;2017;1;0;N/A;609.1992855072021;775.6059169769287;1319.5364475250244;62.61;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74475.png
21;CH;74782;A;17;Humanas Azul REGULAR;0;;1.1661;1.6691;0.1583;Azul;0;2017;1;0;N/A;666.9299602508545;766.8845653533936;1046.027421951294;57.92;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74782.png
26;CH;74785;B;18;Humanas Azul REGULAR;0;;1.0796;2.298;0.157;Azul;0;2017;1;0;N/A;729.8009395599365;837.9714488983154;1139.4374370574951;57.85;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74785.png
6;CH;74938;C;27;Humanas Azul PPL;0;;1.4361;1.3565;0.2588;Azul;0;2017;1;0;N/A;635.6494426727295;704.9672603607178;934.5214366912842;62.94;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74938.png
5;CH;74968;B;13;Humanas Azul PPL;0;;1.4647;1.0994;0.2146;Azul;0;2017;1;0;N/A;609.940767288208;683.2640171051025;906.9840908050537;60.73;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74968.png
10;CH;75010;D;6;Humanas Azul PPL;0;;1.5268;2.4825;0.1929;Azul;0;2017;1;0;N/A;748.2330799102783;820.974588394165;1035.0196361541748;59.64;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75010.png
29;CH;75102;D;13;Humanas Azul REGULAR;0;;1.8212;0.9981;0.3081;Azul;0;2017;1;0;N/A;599.7936725616455;649.2249965667725;831.650972366333;65.4;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75102.png
5;CH;75118;D;3;Humanas Azul REGULAR;0;;1.517;1.2105;0.2104;Azul;0;2017;1;0;N/A;621.0510730743408;692.3167705535889;908.2095623016357;60.52;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75118.png
25;CH;75125;A;18;Humanas Azul PPL;0;;0.5527;1.8452;0.2551;Azul;0;2017;1;0;N/A;684.5681667327881;865.8640384674072;1462.003469467163;62.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75125.png
1;CH;75160;D;23;Humanas Azul PPL;0;;1.2369;0.953;0.1757;Azul;0;2017;1;0;N/A;595.2804088592529;687.3290538787842;951.0080814361572;58.78;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75160.png
13;CH;75295;B;15;Humanas Azul PPL;0;;1.1974;2.0009;0.1785;Azul;0;2017;1;0;N/A;700.0701427459717;794.7795391082764;1067.244291305542;58.92;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75295.png
1;CH;75433;A;24;Humanas Azul REGULAR;0;;1.6845;1.5083;0.2115;Azul;0;2017;1;0;N/A;650.8462429046631;714.8997783660889;909.3515872955322;60.58;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75433.png
24;CH;75477;C;17;Humanas Azul PPL;0;;0.6053;0.234;0.2058;Azul;0;2017;1;0;N/A;523.3995914459229;703.2935619354248;1244.0483570098877;60.29;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75477.png
10;MT;75492;D;1;Matemática Amarela REGULAR;0;;1.0986;0.7148;0.127;Amarela;0;2017;1;0;N/A;571.479082107544;681.9312572479248;977.2531986236572;56.35;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75492.png
